name,NYC,Seattle,LosAngeles,Chicago,Austin,Portland,SanFrancisco,Boston,Houston,Atlanta,Philadelphia,Denver,SeattleWa,Dallas,WashingtonDC,SanDiego,Pittsburgh,Phoenix,Minneapolis,Orlando,Nashville,StLouis,SaltLakeCity,Columbus,Raleigh,NewOrleans,Tampa,KansasCity,rva,Charlotte,Baltimore,Detroit,Vegas,Indianapolis,Cincinnati,Miami,Boulder,Sacramento,MadisonWi,SanAntonio,Cleveland,Milwaukee,Louisville,Chattanooga,LasVegas,Buffalo,Tucson,Rochester,FortWorth,Albuquerque,Charleston,Tulsa,Memphis,Jacksonville,Knoxville,Albany,bullcity,DesMoines
spider-man (peter parker),386,69,182,77,95,81,22,49,122,131,79,41,45,33,41,35,44,29,25,50,24,33,18,23,14,17,18,29,62,19,20,15,8,15,20,13,7,31,14,20,17,8,16,7,3,10,8,18,6,5,8,12,9,13,4,8,4,3
captain america (steven rogers),64,55,60,30,44,104,8,31,64,72,32,47,46,19,76,22,19,18,16,12,18,11,13,9,7,18,11,17,37,7,21,8,10,10,12,7,5,10,6,11,62,8,9,9,1,9,3,8,2,5,1,6,8,26,3,1,0,5
batman (bruce wayne),739,493,731,997,598,708,378,332,602,404,404,314,364,201,256,151,349,153,103,85,454,240,71,132,55,176,71,122,352,125,194,155,75,62,152,77,23,130,86,109,74,49,91,21,17,53,33,63,39,65,19,63,47,47,23,45,15,21
"wolverine (james \""logan\"" howlett)",40,47,44,71,21,81,15,32,45,22,25,19,46,12,11,8,15,13,0,6,8,10,42,45,7,13,13,11,29,12,3,115,4,9,11,0,4,11,13,7,5,24,11,5,1,5,7,6,2,6,2,2,5,6,3,2,3,2
"iron man (anthony \""tony\"" stark)",101,66,131,69,96,76,32,42,78,87,55,30,51,31,32,30,41,31,13,18,20,30,20,23,21,23,15,20,58,17,28,20,12,11,19,18,19,26,53,17,13,13,43,61,3,21,9,12,4,4,4,17,5,5,4,17,1,2
superman (clark kent),180,107,276,244,161,164,52,88,145,116,77,61,74,69,78,59,45,64,37,13,57,83,16,36,12,35,14,147,99,24,44,78,28,16,38,18,16,41,21,49,84,20,23,8,7,30,19,27,11,11,12,16,40,25,5,7,0,13
thor (thor odinson),84,70,134,66,136,82,20,39,91,81,38,51,91,41,42,55,38,30,18,14,30,29,16,38,18,21,6,14,88,18,14,7,7,14,13,12,3,18,25,28,6,13,19,14,1,7,7,5,9,8,0,13,8,4,5,6,3,6
benjamin grimm (earth-616),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reed richards (earth-616),1,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hulk (robert bruce banner),136,89,114,101,93,144,41,62,54,74,128,40,57,41,38,30,50,23,24,132,29,41,15,25,13,26,77,41,63,23,29,32,7,11,35,8,3,16,15,10,21,14,14,6,2,12,12,19,3,8,3,12,8,7,4,9,5,2
